Date,Close,Volume,Name
23-11-2010,168.199997,6465300,Technology-Amazon
24-11-2010,177.25,10042500,Technology-Amazon
26-11-2010,177.199997,4271600,Technology-Amazon
29-11-2010,179.490005,9695000,Technology-Amazon
30-11-2010,175.399994,6762200,Technology-Amazon
01-12-2010,176.550003,5770100,Technology-Amazon
02-12-2010,176.529999,5537600,Technology-Amazon
03-12-2010,175.679993,4907500,Technology-Amazon
06-12-2010,178.050003,5654200,Technology-Amazon
07-12-2010,176.770004,5077100,Technology-Amazon
08-12-2010,176.289993,3726900,Technology-Amazon
09-12-2010,174.850006,4555500,Technology-Amazon
10-12-2010,175.619995,3565500,Technology-Amazon
13-12-2010,174.25,4202500,Technology-Amazon
14-12-2010,173.940002,3685300,Technology-Amazon
15-12-2010,175.570007,5810500,Technology-Amazon
16-12-2010,178.039993,4121500,Technology-Amazon
17-12-2010,177.580002,4507300,Technology-Amazon
20-12-2010,183.289993,8735300,Technology-Amazon
21-12-2010,184.75,5111000,Technology-Amazon
22-12-2010,184.759995,2578100,Technology-Amazon
23-12-2010,182.589996,3358200,Technology-Amazon
27-12-2010,182.139999,2249400,Technology-Amazon
28-12-2010,181.089996,1975000,Technology-Amazon
29-12-2010,183.369995,3120100,Technology-Amazon
30-12-2010,182.75,1961200,Technology-Amazon
31-12-2010,180,3451900,Technology-Amazon
03-01-2011,184.220001,5331400,Technology-Amazon
04-01-2011,185.009995,5031800,Technology-Amazon
05-01-2011,187.419998,3418800,Technology-Amazon
06-01-2011,185.860001,3179700,Technology-Amazon
07-01-2011,185.490005,5221700,Technology-Amazon
10-01-2011,184.679993,3375900,Technology-Amazon
11-01-2011,184.339996,2814200,Technology-Amazon
12-01-2011,184.080002,2679100,Technology-Amazon
13-01-2011,185.529999,3367000,Technology-Amazon
14-01-2011,188.75,3662800,Technology-Amazon
18-01-2011,191.25,3896200,Technology-Amazon
19-01-2011,186.869995,3882400,Technology-Amazon
20-01-2011,181.960007,5709900,Technology-Amazon
21-01-2011,177.419998,6806200,Technology-Amazon
24-01-2011,176.850006,5600300,Technology-Amazon
25-01-2011,176.699997,4651000,Technology-Amazon
26-01-2011,175.389999,3762200,Technology-Amazon
27-01-2011,184.449997,14594400,Technology-Amazon
28-01-2011,171.139999,19908200,Technology-Amazon
31-01-2011,169.639999,6718100,Technology-Amazon
01-02-2011,172.110001,5085900,Technology-Amazon
02-02-2011,173.529999,4547500,Technology-Amazon
03-02-2011,173.710007,3678900,Technology-Amazon
04-02-2011,175.929993,4347800,Technology-Amazon
07-02-2011,176.429993,5254700,Technology-Amazon
08-02-2011,183.059998,7794900,Technology-Amazon
09-02-2011,185.300003,8312700,Technology-Amazon
10-02-2011,186.210007,5331400,Technology-Amazon
11-02-2011,189.25,4487900,Technology-Amazon
14-02-2011,190.419998,4061300,Technology-Amazon
15-02-2011,189.029999,3890900,Technology-Amazon
16-02-2011,186.619995,4628200,Technology-Amazon
17-02-2011,187.759995,3425500,Technology-Amazon
18-02-2011,186.5,4178600,Technology-Amazon
22-02-2011,180.419998,5637100,Technology-Amazon
23-02-2011,176.679993,5482000,Technology-Amazon
24-02-2011,177.75,4656500,Technology-Amazon
25-02-2011,177.240005,4191400,Technology-Amazon
28-02-2011,173.289993,6783200,Technology-Amazon
01-03-2011,169.440002,5847100,Technology-Amazon
02-03-2011,172.020004,5185700,Technology-Amazon
03-03-2011,172.789993,4138200,Technology-Amazon
04-03-2011,171.669998,4924300,Technology-Amazon
07-03-2011,169.080002,5932900,Technology-Amazon
08-03-2011,166.889999,4219000,Technology-Amazon
09-03-2011,169.050003,7108900,Technology-Amazon
10-03-2011,166.139999,5998400,Technology-Amazon
11-03-2011,168.070007,4609900,Technology-Amazon
14-03-2011,166.729996,4022000,Technology-Amazon
15-03-2011,165.080002,4934500,Technology-Amazon
16-03-2011,164.699997,5208100,Technology-Amazon
17-03-2011,160.970001,6471400,Technology-Amazon
18-03-2011,161.820007,7442700,Technology-Amazon
21-03-2011,164.520004,4055100,Technology-Amazon
22-03-2011,162.600006,3611400,Technology-Amazon
23-03-2011,165.320007,4721300,Technology-Amazon
24-03-2011,171.100006,6283200,Technology-Amazon
25-03-2011,170.979996,4293800,Technology-Amazon
28-03-2011,169.350006,3400800,Technology-Amazon
29-03-2011,174.619995,4884600,Technology-Amazon
30-03-2011,179.419998,6859300,Technology-Amazon
31-03-2011,180.130005,4826500,Technology-Amazon
01-04-2011,180.130005,5684100,Technology-Amazon
04-04-2011,182.940002,4186400,Technology-Amazon
05-04-2011,185.289993,5569200,Technology-Amazon
06-04-2011,182.759995,5430700,Technology-Amazon
07-04-2011,184.910004,4564000,Technology-Amazon
08-04-2011,184.710007,3726400,Technology-Amazon
11-04-2011,184.039993,3297100,Technology-Amazon
12-04-2011,180.479996,5334500,Technology-Amazon
13-04-2011,182.289993,4216300,Technology-Amazon
14-04-2011,181.820007,3588200,Technology-Amazon
15-04-2011,180.009995,4272400,Technology-Amazon
18-04-2011,178.339996,4616500,Technology-Amazon
19-04-2011,178.820007,2646000,Technology-Amazon
20-04-2011,183.869995,4067500,Technology-Amazon
21-04-2011,185.889999,3348100,Technology-Amazon
25-04-2011,185.419998,3438100,Technology-Amazon
26-04-2011,182.300003,11200000,Technology-Amazon
27-04-2011,196.630005,23623000,Technology-Amazon
28-04-2011,195.070007,7300000,Technology-Amazon
29-04-2011,195.809998,6640900,Technology-Amazon
02-05-2011,201.190002,9398100,Technology-Amazon
03-05-2011,198.449997,6100000,Technology-Amazon
04-05-2011,199.970001,6550000,Technology-Amazon
05-05-2011,197.110001,4600000,Technology-Amazon
06-05-2011,197.600006,4013900,Technology-Amazon
09-05-2011,200.800003,5825400,Technology-Amazon
10-05-2011,203.940002,5885900,Technology-Amazon
11-05-2011,204.380005,4809000,Technology-Amazon
12-05-2011,206.070007,4800000,Technology-Amazon
13-05-2011,202.559998,4123700,Technology-Amazon
16-05-2011,192.509995,9386400,Technology-Amazon
17-05-2011,194.809998,7073300,Technology-Amazon
18-05-2011,197.089996,4955800,Technology-Amazon
19-05-2011,198.800003,3701200,Technology-Amazon
20-05-2011,198.649994,3381000,Technology-Amazon
23-05-2011,196.220001,4200000,Technology-Amazon
24-05-2011,193.270004,2972700,Technology-Amazon
25-05-2011,192.259995,4661300,Technology-Amazon
26-05-2011,195,4075200,Technology-Amazon
27-05-2011,194.130005,2352600,Technology-Amazon
31-05-2011,196.690002,3409000,Technology-Amazon
01-06-2011,192.399994,3445200,Technology-Amazon
02-06-2011,193.649994,3044900,Technology-Amazon
03-06-2011,188.320007,4974500,Technology-Amazon
06-06-2011,185.690002,3716000,Technology-Amazon
07-06-2011,187.550003,4866500,Technology-Amazon
08-06-2011,188.050003,3716600,Technology-Amazon
09-06-2011,189.679993,4187300,Technology-Amazon
10-06-2011,186.529999,3760400,Technology-Amazon
13-06-2011,186.289993,3868900,Technology-Amazon
14-06-2011,189.960007,3960300,Technology-Amazon
15-06-2011,185.979996,6317700,Technology-Amazon
16-06-2011,183.649994,6032100,Technology-Amazon
17-06-2011,186.369995,6322200,Technology-Amazon
20-06-2011,187.720001,2831700,Technology-Amazon
21-06-2011,194.229996,4182600,Technology-Amazon
22-06-2011,191.630005,3129700,Technology-Amazon
23-06-2011,194.160004,4609600,Technology-Amazon
24-06-2011,192.550003,3614500,Technology-Amazon
27-06-2011,201.25,6100700,Technology-Amazon
28-06-2011,202.350006,3825300,Technology-Amazon
29-06-2011,204.179993,4608900,Technology-Amazon
30-06-2011,204.490005,4448100,Technology-Amazon
01-07-2011,209.490005,4008700,Technology-Amazon
05-07-2011,213.190002,3585200,Technology-Amazon
06-07-2011,214.190002,2607600,Technology-Amazon
07-07-2011,216.740005,3144900,Technology-Amazon
08-07-2011,218.279999,3707900,Technology-Amazon
11-07-2011,212.550003,4033700,Technology-Amazon
12-07-2011,211.229996,3985700,Technology-Amazon
13-07-2011,213.5,4229900,Technology-Amazon
14-07-2011,210.380005,3902500,Technology-Amazon
15-07-2011,212.869995,4072600,Technology-Amazon
18-07-2011,211.529999,2898100,Technology-Amazon
19-07-2011,218.059998,4437200,Technology-Amazon
20-07-2011,215.550003,3372900,Technology-Amazon
21-07-2011,213.210007,4545300,Technology-Amazon
22-07-2011,216.520004,3591700,Technology-Amazon
25-07-2011,213.490005,3342800,Technology-Amazon
26-07-2011,214.179993,9863600,Technology-Amazon
27-07-2011,222.520004,12955600,Technology-Amazon
28-07-2011,223.899994,5354900,Technology-Amazon
29-07-2011,222.520004,5167700,Technology-Amazon
01-08-2011,221.320007,5789300,Technology-Amazon
02-08-2011,211.699997,6586700,Technology-Amazon
03-08-2011,209.960007,8197100,Technology-Amazon
04-08-2011,201.479996,6579500,Technology-Amazon
05-08-2011,202.699997,10024000,Technology-Amazon
08-08-2011,193.699997,10427500,Technology-Amazon
09-08-2011,205.089996,10491200,Technology-Amazon
10-08-2011,194.130005,8757600,Technology-Amazon
11-08-2011,198.360001,7401900,Technology-Amazon
12-08-2011,202.300003,5620400,Technology-Amazon
15-08-2011,202.949997,4785900,Technology-Amazon
16-08-2011,197.679993,5205900,Technology-Amazon
17-08-2011,195.929993,3991100,Technology-Amazon
18-08-2011,182.520004,8275200,Technology-Amazon
19-08-2011,178.929993,7244200,Technology-Amazon
22-08-2011,177.539993,5313700,Technology-Amazon
23-08-2011,193.550003,7351600,Technology-Amazon
24-08-2011,193.729996,6248700,Technology-Amazon
25-08-2011,192.029999,3760800,Technology-Amazon
26-08-2011,199.270004,5310700,Technology-Amazon
29-08-2011,206.529999,4511000,Technology-Amazon
30-08-2011,210.919998,5915700,Technology-Amazon
31-08-2011,215.229996,7405000,Technology-Amazon
01-09-2011,212.539993,5275300,Technology-Amazon
02-09-2011,210,4232000,Technology-Amazon
06-09-2011,216.179993,6216200,Technology-Amazon
07-09-2011,219.899994,5295800,Technology-Amazon
08-09-2011,217.259995,4397900,Technology-Amazon
09-09-2011,211.389999,4574300,Technology-Amazon
12-09-2011,216.559998,5342100,Technology-Amazon
13-09-2011,219.529999,4835900,Technology-Amazon
14-09-2011,222.570007,5881700,Technology-Amazon
15-09-2011,226.779999,5608800,Technology-Amazon
16-09-2011,239.300003,11753000,Technology-Amazon
19-09-2011,241.690002,8223300,Technology-Amazon
20-09-2011,233.25,7385500,Technology-Amazon
21-09-2011,231.869995,5881500,Technology-Amazon
22-09-2011,223.229996,8254600,Technology-Amazon
23-09-2011,223.610001,6468100,Technology-Amazon
26-09-2011,229.850006,5794100,Technology-Amazon
27-09-2011,224.210007,7837500,Technology-Amazon
28-09-2011,229.710007,14436900,Technology-Amazon
29-09-2011,222.440002,9378500,Technology-Amazon
30-09-2011,216.229996,6550300,Technology-Amazon
03-10-2011,211.979996,6624400,Technology-Amazon
04-10-2011,212.5,8711600,Technology-Amazon
05-10-2011,219.5,6508200,Technology-Amazon
06-10-2011,221.509995,6849300,Technology-Amazon
07-10-2011,224.740005,6784300,Technology-Amazon
10-10-2011,231.320007,5143100,Technology-Amazon
11-10-2011,235.479996,5003700,Technology-Amazon
12-10-2011,236.809998,6510800,Technology-Amazon
13-10-2011,236.149994,4833500,Technology-Amazon
14-10-2011,246.710007,5923700,Technology-Amazon
17-10-2011,242.330002,4779000,Technology-Amazon
18-10-2011,243.880005,4609700,Technology-Amazon
19-10-2011,231.529999,6715100,Technology-Amazon
20-10-2011,233.610001,4524900,Technology-Amazon
21-10-2011,234.779999,4572500,Technology-Amazon
24-10-2011,237.610001,4975800,Technology-Amazon
25-10-2011,227.149994,14012600,Technology-Amazon
26-10-2011,198.399994,24134200,Technology-Amazon
27-10-2011,206.779999,10774300,Technology-Amazon
28-10-2011,217.320007,9880400,Technology-Amazon
31-10-2011,213.509995,7343300,Technology-Amazon
01-11-2011,212.100006,8511800,Technology-Amazon
02-11-2011,215.619995,6122000,Technology-Amazon
03-11-2011,218.289993,5315000,Technology-Amazon
04-11-2011,216.479996,4065800,Technology-Amazon
07-11-2011,217,3860000,Technology-Amazon
08-11-2011,217.990005,3914500,Technology-Amazon
09-11-2011,211.220001,4680600,Technology-Amazon
10-11-2011,210.789993,5044600,Technology-Amazon
11-11-2011,217.389999,5163100,Technology-Amazon
14-11-2011,218.929993,6522200,Technology-Amazon
15-11-2011,217.830002,5739000,Technology-Amazon
16-11-2011,211.990005,5509400,Technology-Amazon
17-11-2011,204.520004,7983100,Technology-Amazon
18-11-2011,197.139999,8437500,Technology-Amazon
21-11-2011,189.25,11321200,Technology-Amazon
22-11-2011,192.339996,9915600,Technology-Amazon
23-11-2011,188.990005,8011300,Technology-Amazon
25-11-2011,182.399994,4972000,Technology-Amazon
28-11-2011,194.149994,7207300,Technology-Amazon
29-11-2011,188.389999,6575100,Technology-Amazon
30-11-2011,192.289993,7717000,Technology-Amazon
01-12-2011,197.130005,7327700,Technology-Amazon
02-12-2011,196.029999,7526200,Technology-Amazon
05-12-2011,196.240005,5922100,Technology-Amazon
06-12-2011,191.990005,5202000,Technology-Amazon
07-12-2011,195.320007,6427300,Technology-Amazon
08-12-2011,190.479996,4361100,Technology-Amazon
09-12-2011,193.029999,5158800,Technology-Amazon
12-12-2011,189.520004,4343200,Technology-Amazon
13-12-2011,180.509995,9297300,Technology-Amazon
14-12-2011,180.210007,11614200,Technology-Amazon
15-12-2011,181.259995,7259900,Technology-Amazon
16-12-2011,181.259995,6664100,Technology-Amazon
19-12-2011,179.330002,4533600,Technology-Amazon
20-12-2011,182.520004,4600100,Technology-Amazon
21-12-2011,174.350006,8066700,Technology-Amazon
